enhancer	S1_r1	S1_r2	S2_r1	S2_r2
chr21_14542528_14546661	86	189	46	14
chr21_14546968_14547348	7	13	5	2
chr21_14581083_14581336	13	7	0	1
chr21_14581878_14585791	257	316	62	23
chr21_14600420_14601396	28	19	11	2
chr21_14602937_14603332	7	8	7	1
chr21_14674539_14674847	1	7	3	1
chr21_14675240_14678757	280	250	29	22
chr21_14699404_14700105	8	4	127	30
chr21_14700338_14701064	6	3	125	23
chr21_14711518_14712124	0	1	98	12
chr21_14712413_14712955	0	1	89	13
chr21_14735763_14736773	17	27	13	8
chr21_14737131_14737833	35	31	13	6
chr21_14740603_14741364	5	4	64	40
chr21_14741464_14742082	5	3	33	32
chr21_14744487_14745377	36	17	8	4
chr21_14748447_14748999	17	17	10	4
chr21_14749206_14749559	1	13	4	0
chr21_14749603_14750540	52	46	14	8
chr21_14750604_14751557	61	49	14	9
chr21_14751738_14756723	463	471	48	13
chr21_14756791_14757336	0	16	8	4
chr21_14757516_14758773	63	33	11	7
chr21_14758835_14759225	15	14	5	2
chr21_14759266_14759670	4	8	9	2
chr21_14760059_14760566	8	12	4	3
chr21_14760734_14764325	254	303	91	30
chr21_14764472_14764911	14	12	2	1
chr21_14767661_14768020	2	5	30	2
chr21_14768237_14768676	6	2	48	2
chr21_14771210_14771680	9	10	49	19
chr21_14773473_14773781	3	7	6	1
chr21_14829522_14831334	4	3	292	113
chr21_14862080_14865280	21	15	1248	376
chr21_14868792_14869485	2	1	64	10
chr21_14869642_14872238	9	2	949	173
chr21_14874150_14875545	6	3	201	24
chr21_14875865_14880691	18	9	1419	290
chr21_14911078_14912413	3	2	172	18
chr21_14913431_14914603	1	0	188	22
chr21_14915344_14918294	14	10	849	129
chr21_14918333_14919168	3	2	64	6
chr21_14926316_14927144	1	3	202	71
chr21_14927333_14927573	1	0	31	9
chr21_14955400_14957996	6	2	377	41
chr21_14958088_14958784	2	0	68	7
chr21_14964985_14965434	4	1	31	5
chr21_14980967_14981700	2	1	70	1
chr21_14996201_14996682	2	0	55	5
chr21_15004653_15005972	3	2	121	24
chr21_15006626_15007301	8	3	74	14
chr21_15010662_15011215	3	1	63	11
chr21_15015835_15016454	1	1	63	8
chr21_15022973_15023225	1	0	24	5
chr21_15028086_15028516	1	1	40	4
chr21_15047660_15048143	5	2	48	8
chr21_15050142_15052838	33	22	311	83
chr21_15053219_15053804	4	4	51	23
chr21_15054044_15054519	2	1	56	11
chr21_15054609_15054985	6	1	36	15
chr21_15056653_15066984	459	353	4223	814
chr21_15121304_15122885	9	1	392	106
chr21_15132305_15132819	1	1	53	10
chr21_15133029_15133536	4	0	55	8
chr21_15191816_15192840	1	1	194	61
chr21_15192918_15193332	1	0	43	14
chr21_15197291_15197509	1	0	19	2
chr21_15197844_15202228	11	3	2973	626
chr21_15202427_15205649	13	3	794	82
chr21_15206684_15212686	23	4	3269	435
chr21_15212762_15213230	1	0	51	11
chr21_15219662_15220919	8	2	266	36
chr21_15222234_15222552	1	0	22	2
chr21_15241887_15243180	3	1	164	31
chr21_15243387_15243752	4	0	40	13
chr21_15249524_15249864	9	1	3	0
chr21_15250327_15250672	3	7	6	4
chr21_15274335_15275503	2	0	186	37
chr21_15275741_15275987	3	0	20	5
chr21_15290388_15294931	11	10	1924	562
chr21_15342939_15343482	3	0	50	9
chr21_15370317_15371026	1	0	77	27
chr21_15406117_15408569	7	3	739	102
chr21_15444401_15444943	4	2	59	6
chr21_15482697_15483318	0	0	89	16
chr21_15483432_15484051	0	1	61	8
chr21_15547078_15547664	0	0	71	10
chr21_15548216_15548708	1	0	41	5
chr21_15592528_15593019	1	1	59	15
chr21_15601434_15602848	4	0	155	23
chr21_15603405_15604568	1	1	307	25
chr21_15604713_15605825	4	1	233	23
chr21_15617366_15618072	3	0	180	21
chr21_15618198_15619210	3	0	259	10
chr21_15628255_15630205	0	0	379	48
chr21_15639339_15639909	1	1	52	7
chr21_15682447_15682921	5	1	67	15
chr21_15705866_15708288	2	2	588	108
chr21_15721952_15723324	3	2	322	132
chr21_15726198_15726848	1	0	64	13
chr21_15728895_15729844	32	18	272	66
chr21_15729917_15732647	182	178	807	118
chr21_15732721_15733090	12	5	50	14
chr21_15733199_15733601	9	11	36	5
chr21_15733858_15734432	13	17	26	5
chr21_15735245_15735902	5	15	40	12
chr21_15736186_15736398	6	4	19	3
chr21_15743422_15743799	14	8	8	1
chr21_15743843_15744401	22	11	15	5
chr21_15748678_15750258	63	71	185	40
chr21_15752978_15753490	28	7	19	2
chr21_15788548_15789275	4	1	133	9
chr21_15789314_15790324	2	2	124	19
chr21_15855581_15855902	5	2	11	1
chr21_16080114_16080607	0	0	59	19
chr21_16117400_16118486	0	0	116	65
chr21_16118575_16118828	0	0	2	8
chr21_16124642_16125467	2	0	68	39
chr21_16125524_16125815	0	1	6	11
chr21_16158142_16159305	1	0	141	67
chr21_16159313_16160356	4	1	142	89
chr21_16168394_16169242	0	0	33	43
chr21_16169402_16169970	0	0	59	34
chr21_16179355_16179817	0	1	47	22
chr21_16179983_16180579	1	1	66	23
chr21_16374835_16375483	1	0	58	8
chr21_16418589_16421298	1	1	831	356
chr21_16522163_16522685	1	0	58	6
chr21_16586785_16587628	1	0	101	27
chr21_16587912_16588528	1	0	60	20
chr21_17088403_17089392	1	0	216	39
chr21_17089534_17090493	3	0	117	27
chr21_17105378_17106182	0	0	108	29
chr21_17106288_17107034	1	1	90	19
chr21_17127963_17128457	0	0	46	14
chr21_17263230_17264007	0	0	69	23
chr21_17264241_17264637	0	1	35	7
chr21_17266091_17267252	0	0	104	37
chr21_17370059_17371560	2	1	271	56
chr21_17371778_17372213	0	0	56	13
chr21_17372420_17372938	2	0	50	11
chr21_17440776_17441561	2	1	68	32
chr21_17441612_17442057	1	0	40	18
chr21_17454234_17454705	6	2	45	9
chr21_17527028_17527279	1	0	30	5
chr21_17610489_17612980	425	193	133	33
chr21_17688566_17690161	53	14	254	79
chr21_17690746_17691158	18	3	17	6
chr21_17759679_17760199	6	4	41	7
chr21_17818393_17820531	275	113	442	86
chr21_18716386_18717844	4	1	285	61
chr21_18717935_18718690	0	1	70	33
chr21_18759123_18760913	140	55	14	9
chr21_18770986_18773628	2	3	450	162
chr21_19433262_19433709	26	3	7	1
chr21_19440455_19440739	2	8	6	3
chr21_19440857_19441375	9	14	14	5
chr21_19456854_19457367	7	12	6	0
chr21_19458484_19459007	5	14	5	2
chr21_19459477_19460026	17	16	6	7
chr21_19461171_19462198	35	20	12	4
chr21_19487253_19487778	14	9	11	2
chr21_19489999_19490444	17	6	3	1
chr21_19490868_19493784	96	85	25	8
chr21_19527474_19527775	1	0	31	3
chr21_19528172_19529156	2	0	167	24
chr21_19529298_19530062	1	0	149	22
chr21_19541864_19542406	2	2	57	9
chr21_19565936_19566938	1	2	120	18
chr21_19567263_19567763	1	0	66	17
chr21_19589526_19590773	3	5	174	23
chr21_19593881_19594346	3	0	48	6
chr21_19602116_19603195	1	1	131	20
chr21_19603305_19603700	0	0	38	6
chr21_19606701_19607349	1	0	61	5
chr21_19607908_19608350	10	4	46	12
chr21_19620298_19620848	1	3	42	12
chr21_19621108_19622150	2	0	100	19
chr21_19899758_19900066	22	2	1	2
chr21_19998754_20000499	101	35	12	6
chr21_20048368_20048707	13	3	0	1
chr21_20086397_20086603	7	3	3	0
chr21_20257456_20259787	239	155	22	2
chr21_20329587_20331328	37	60	15	6
chr21_20998426_20998772	3	1	25	11
chr21_21027498_21029582	3	3	291	117
chr21_21029623_21030084	2	0	38	14
chr21_21043860_21044352	8	17	16	1
chr21_21062247_21065718	0	6	728	225
chr21_21096637_21097175	2	1	94	24
chr21_21101543_21102094	1	2	50	6
chr21_21145608_21146159	18	17	13	3
chr21_21146237_21149475	173	300	69	18
chr21_21149589_21150939	18	62	12	5
chr21_21151090_21151933	17	47	9	7
chr21_21152000_21152325	2	13	6	1
chr21_21152405_21154393	90	102	25	6
chr21_21154573_21155180	6	18	14	2
chr21_21155829_21156289	5	11	10	4
chr21_21156732_21157433	14	19	11	7
chr21_21157494_21157863	5	12	12	5
chr21_21157913_21159099	61	39	13	7
chr21_21159237_21160289	24	22	12	6
chr21_21161450_21161627	8	4	2	1
chr21_21162052_21163494	20	49	40	8
chr21_21165215_21165629	6	10	7	2
chr21_21173331_21173615	1	5	7	1
chr21_21175166_21175449	10	1	5	3
chr21_21175646_21176353	9	25	19	9
chr21_21178827_21180204	38	43	32	10
chr21_21181588_21181790	5	6	6	1
chr21_21182717_21183126	4	9	6	3
chr21_21183257_21183982	36	19	11	2
chr21_21187341_21188306	15	36	18	8
chr21_21190242_21190563	4	7	9	4
chr21_21193081_21193493	5	10	7	5
chr21_21193863_21194682	4	20	11	7
chr21_21195345_21196008	6	17	8	6
chr21_21196058_21202406	559	521	245	61
chr21_21237734_21240742	5	8	800	282
chr21_21246806_21248248	3	0	213	63
chr21_21248312_21248680	0	0	35	4
chr21_21267996_21270873	7	7	393	132
chr21_21315108_21315920	8	0	75	10
chr21_21322556_21322852	3	0	27	2
chr21_21335344_21335928	3	0	53	21
chr21_21336139_21337070	3	0	77	33
chr21_21357184_21357791	0	1	73	9
chr21_21357925_21358717	2	0	121	20
chr21_21377613_21378063	4	0	43	9
chr21_21671122_21671682	0	0	59	12
chr21_21681813_21682421	0	0	112	25
chr21_21682509_21683780	1	0	162	51
chr21_21806342_21807364	0	1	101	61
chr21_21807502_21808232	0	0	102	61
chr21_21896937_21897794	0	0	134	32
chr21_21897853_21898640	3	0	103	22
chr21_22188824_22189561	15	21	10	2
chr21_22189638_22190667	81	87	13	5
chr21_22190810_22191077	9	10	1	1
chr21_22200688_22201021	12	3	6	1
chr21_22209421_22209861	24	36	2	3
chr21_22209907_22210663	98	61	4	4
chr21_22210730_22211575	22	28	9	4
chr21_22212334_22212703	4	6	6	2
chr21_22398791_22401549	2	1	360	101
chr21_22535774_22536611	2	2	119	70
chr21_22536708_22537510	0	0	69	64
chr21_22884268_22885643	1	0	169	26
chr21_23402324_23403009	1	0	67	40
chr21_23403614_23404236	0	0	56	26
chr21_23480999_23481536	0	1	39	18
chr21_23800935_23801254	8	7	4	2
chr21_23804957_23805127	7	0	0	1
chr21_23812215_23812754	48	16	2	0
chr21_23886755_23888604	87	63	15	7
chr21_23888713_23891015	73	69	24	13
chr21_23891525_23892775	32	51	4	3
chr21_23892974_23893687	33	23	2	3
chr21_23893766_23894681	18	24	8	1
chr21_23921088_23923737	78	110	14	8
chr21_24271075_24271397	16	5	3	1
chr21_24272061_24272525	24	4	5	1
chr21_24272692_24273351	38	16	3	3
chr21_24462033_24462209	5	1	2	0
chr21_25573264_25574056	4	5	122	27
chr21_25574222_25574915	0	0	73	16
chr21_25606610_25607862	91	44	357	59
chr21_25607934_25608374	18	10	34	9
chr21_25626245_25627605	6	1	256	14
chr21_25699771_25702403	15	6	1087	187
chr21_25717820_25718108	20	4	10	4
chr21_25730090_25730428	14	2	11	2
chr21_25732657_25732861	7	0	12	2
chr21_25732964_25736756	838	368	1577	468
chr21_25773005_25773324	3	1	29	11
chr21_25790221_25790948	8	2	106	27
chr21_25934701_25935456	1	1	71	19
chr21_25962790_25964280	2	1	140	27
chr21_26003076_26003550	0	1	34	4
chr21_26003603_26004199	1	0	54	7
chr21_26022246_26022886	3	1	83	14
chr21_26023034_26024150	1	0	157	17
chr21_26106273_26107381	4	1	113	11
chr21_26114218_26118448	5	2	1373	283
chr21_26124256_26125299	3	0	103	17
chr21_26125375_26126032	1	0	81	12
chr21_26126125_26126656	0	0	40	1
chr21_26137866_26142030	9	2	1021	173
chr21_26147928_26149748	5	1	257	34
chr21_26152966_26154672	0	2	258	58
chr21_26157792_26159900	2	3	304	51
chr21_26166443_26167050	0	1	93	24
chr21_26167087_26167597	0	0	67	13
chr21_26168640_26170759	5	1	469	202
chr21_26170902_26171156	0	1	11	9
chr21_26171234_26171628	1	0	12	18
chr21_26389903_26391106	2	0	110	18
chr21_27047014_27047842	0	1	82	17
chr21_28207427_28207939	0	0	54	25
chr21_28208025_28209352	1	0	137	63
chr21_28636467_28637037	0	0	85	8
chr21_28637381_28637811	1	0	40	6
chr21_28696648_28696972	1	0	33	8
chr21_28698717_28699695	1	1	156	37
chr21_28699732_28700299	2	3	86	20
chr21_28883900_28885790	269	223	312	94
chr21_28961490_28962037	3	1	61	14
chr21_28962163_28962786	3	1	60	8
chr21_28991748_28993989	443	224	652	186
chr21_29002062_29003758	213	146	237	49
chr21_29017628_29020236	309	234	392	79
chr21_29023925_29026302	489	318	1014	245
chr21_29026472_29026875	17	10	10	2
chr21_29026938_29027187	6	9	7	2
chr21_29033543_29034226	7	5	73	15
chr21_29071159_29071422	14	5	12	3
chr21_29071585_29074463	458	217	781	228
chr21_29181695_29182735	5	3	157	24
chr21_29192965_29197414	31	9	1166	111
chr21_29217936_29220494	16	10	617	134
chr21_29298157_29298727	28	10	32	3
chr21_29298855_29301037	717	243	276	47
chr21_29302222_29303077	52	18	53	15
chr21_29304949_29306756	157	100	32	11
chr21_29306916_29307248	16	9	7	1
chr21_29313913_29314552	12	20	17	5
chr21_29314666_29317719	485	227	48	16
chr21_29356548_29356722	6	1	3	0
chr21_29356795_29357018	7	4	2	2
chr21_29357166_29357666	17	6	2	1
chr21_29378157_29379945	12	3	644	43
chr21_29381359_29383200	9	3	425	60
chr21_29384792_29388101	15	4	906	115
chr21_29395976_29396297	0	3	30	2
chr21_29416048_29416324	1	0	25	4
chr21_29416484_29416930	2	2	47	5
chr21_29428767_29429332	2	2	55	10
chr21_29432915_29433838	2	1	239	21
chr21_29433883_29434910	3	0	206	17
chr21_29634547_29635064	21	8	4	1
chr21_29637303_29637945	39	9	13	3
chr21_29639754_29640104	20	7	3	0
chr21_29640260_29643743	1057	245	24	10
chr21_29643838_29644300	15	14	6	2
chr21_29645766_29651322	1222	642	48	18
chr21_29651432_29652332	28	23	8	3
chr21_29653089_29654505	76	55	11	4
chr21_29654616_29656322	125	63	11	9
chr21_29656348_29659136	589	378	30	14
chr21_29659990_29660543	27	12	10	2
chr21_29725082_29725321	12	5	3	1
chr21_30227367_30227702	2	1	31	11
chr21_30769132_30769462	0	1	28	20
chr21_30769965_30770775	4	1	79	29
chr21_31117033_31117447	1	1	36	8
chr21_31117498_31117918	4	0	35	3
chr21_31218526_31219870	2	0	253	84
chr21_31235824_31236182	0	1	28	4
chr21_31310037_31310974	4	1	125	22
chr21_31311090_31311616	1	0	50	34
chr21_31336460_31337023	3	0	54	14
chr21_31337647_31339046	10	1	207	31
chr21_31342692_31344317	4	0	287	69
chr21_31351060_31351524	1	3	64	13
chr21_31351702_31352244	0	0	81	11
chr21_31353983_31355529	5	0	293	87
chr21_31425063_31425557	0	0	54	8
chr21_31425602_31425918	0	0	34	1
chr21_31501473_31503044	7	0	209	57
chr21_31504839_31505141	0	1	26	5
chr21_31509118_31510441	10	3	208	77
chr21_31529660_31529992	1	0	36	4
chr21_31530610_31531858	3	1	176	48
chr21_31559153_31560424	2	1	281	76
chr21_31629356_31630174	5	2	166	26
chr21_31630247_31630746	2	0	59	36
chr21_31658754_31661354	331	146	503	186
chr21_31661674_31661904	10	0	5	3
chr21_31713162_31713729	20	22	8	6
chr21_31713794_31715483	141	91	59	14
chr21_31715527_31716232	14	24	19	3
chr21_31716324_31717256	12	28	25	9
chr21_31728694_31729397	22	5	59	19
chr21_31730465_31732186	202	97	595	149
chr21_31732218_31734158	322	149	438	118
chr21_31734458_31734736	13	3	5	0
chr21_31734835_31737388	246	93	40	7
chr21_31737536_31738626	94	45	14	4
chr21_31861928_31862269	1	0	29	5
chr21_31872508_31873580	1	0	92	32
chr21_31888262_31889991	6	3	464	87
chr21_31890131_31890825	2	0	55	9
chr21_31903974_31904403	1	1	34	9
chr21_31908112_31909017	1	1	80	15
chr21_31987388_31987689	2	2	21	4
chr21_32021303_32022405	4	0	128	28
chr21_32130555_32132822	25	5	670	85
chr21_32174491_32174958	1	0	37	6
chr21_32278019_32279916	140	57	346	96
chr21_32300376_32300657	11	0	7	1
chr21_32317792_32318035	6	0	3	1
chr21_32338971_32340948	8	2	361	138
chr21_32346383_32352945	36	12	3957	1840
chr21_32359484_32360511	8	3	68	42
chr21_32364141_32365276	8	0	94	11
chr21_32367675_32369216	10	8	158	59
chr21_32381549_32382242	1	1	82	15
chr21_32382446_32383324	11	0	146	26
chr21_32391759_32394742	294	123	1311	334
chr21_32411686_32412363	3	3	91	11
chr21_32412466_32414475	11	1	429	46
chr21_32414585_32415335	3	2	79	11
chr21_32454867_32455738	5	3	133	6
chr21_32455972_32456444	1	0	49	9
chr21_32457326_32457970	5	0	43	5
chr21_32483480_32483808	2	1	32	7
chr21_32494169_32496598	14	5	805	89
chr21_32507347_32507621	6	1	12	2
chr21_32516416_32516705	4	3	24	2
chr21_32520876_32521515	10	1	61	3
chr21_32533232_32533671	12	0	7	2
chr21_32545255_32547237	355	184	29	7
chr21_32547290_32547906	49	28	8	3
chr21_32548809_32549468	29	14	9	1
chr21_32569067_32570294	45	6	333	73
chr21_32586675_32587208	21	7	5	1
chr21_32595358_32595518	6	0	4	1
chr21_32610990_32611312	14	2	11	3
chr21_32611378_32614238	506	215	1477	367
chr21_32646223_32646408	1	6	2	2
chr21_32660884_32661721	5	2	95	31
chr21_32726540_32729053	154	111	898	226
chr21_32732218_32733240	3	4	104	11
chr21_32770097_32773168	254	191	1089	264
chr21_32802724_32802987	7	0	0	0
chr21_33010574_33011680	6	0	410	103
chr21_33011762_33012324	3	0	97	30
chr21_33078650_33079858	20	2	199	51
chr21_33215572_33216354	35	16	12	5
chr21_33227046_33227528	9	4	45	9
chr21_33227612_33228106	6	3	68	14
chr21_33229881_33230993	49	31	166	39
chr21_33231156_33231405	2	5	24	6
chr21_33265443_33267439	68	36	272	51
chr21_33268524_33269712	11	2	151	27
chr21_33286302_33287254	10	1	84	12
chr21_33293973_33294722	5	2	84	28
chr21_33299009_33299538	4	0	52	1
chr21_33300837_33302220	79	13	122	12
chr21_33303921_33305704	132	29	23	10
chr21_33323956_33326164	254	192	1149	329
chr21_33330957_33332830	86	60	22	9
chr21_33361493_33362323	12	5	71	22
chr21_33373472_33374541	5	1	128	24
chr21_33374902_33375287	1	1	33	7
chr21_33379715_33380763	49	7	196	39
chr21_33380846_33381122	7	0	28	6
chr21_33382612_33383945	71	18	213	55
chr21_33398994_33399156	5	0	0	0
chr21_33403472_33405604	96	48	471	130
chr21_33417046_33418718	11	2	274	69
chr21_33421427_33421650	9	1	4	0
chr21_33428532_33429854	6	2	151	22
chr21_33434577_33435470	23	1	91	52
chr21_33441778_33442128	1	0	25	11
chr21_33442428_33442772	3	0	24	5
chr21_33451995_33452540	8	2	37	11
chr21_33478277_33479982	137	76	663	210
chr21_33480120_33481199	61	41	312	93
chr21_33490959_33492265	161	39	132	35
chr21_33505833_33506089	6	6	1	1
chr21_33539902_33540279	11	8	17	3
chr21_33540487_33545474	1352	773	2815	1014
chr21_33552431_33552696	11	1	8	1
chr21_33579320_33579573	19	13	24	6
chr21_33584270_33584730	14	11	5	6
chr21_33587583_33589649	209	114	637	177
chr21_33640832_33642994	248	125	767	239
chr21_33643126_33644082	6	4	110	21
chr21_33655256_33656534	7	3	209	38
chr21_33677881_33679115	2	2	300	52
chr21_33679213_33679795	0	0	102	23
chr21_33682627_33683408	3	1	89	20
chr21_33751087_33751316	7	7	7	4
chr21_33754544_33754764	7	0	2	3
chr21_33760942_33763691	47	30	728	138
chr21_33773925_33775962	7	6	269	80
chr21_33801212_33803164	5	2	557	171
chr21_33912547_33913087	5	12	13	2
chr21_33914461_33915912	252	164	208	42
chr21_33915961_33916476	52	24	32	11
chr21_33916563_33916728	8	1	4	2
chr21_33924392_33924784	3	1	27	16
chr21_33931441_33932510	91	43	45	17
chr21_33946687_33949473	438	117	1366	604
chr21_33951923_33952099	8	1	1	2
chr21_33975317_33977749	422	187	28	13
chr21_33977891_33978182	14	3	5	0
chr21_34030259_34030689	14	7	8	6
chr21_34072614_34073424	24	23	69	30
chr21_34073543_34073903	42	18	94	27
chr21_34073977_34075221	92	42	240	65
chr21_34082132_34082707	3	2	89	9
chr21_34082766_34083481	8	3	107	10
chr21_34086318_34087850	28	7	220	23
chr21_34110170_34111786	124	44	21	16
chr21_34190116_34190605	31	2	21	4
chr21_34190703_34191354	39	5	11	11
chr21_34227543_34227772	6	0	0	1
chr21_34367730_34368084	1	0	41	7
chr21_34522795_34523140	3	0	26	6
chr21_34526006_34527823	10	6	553	63
chr21_34535365_34535866	0	1	36	6
chr21_34536121_34537496	7	4	167	11
chr21_34544251_34546281	55	6	372	24
chr21_34551970_34552373	4	1	35	1
chr21_34568974_34570154	3	0	108	13
chr21_34591923_34592498	28	3	2	1
chr21_34615408_34615636	12	2	15	6
chr21_34648246_34648665	1	0	33	6
chr21_34689831_34693343	21	3	567	178
chr21_34693529_34693910	4	1	37	6
chr21_34726352_34727309	8	2	72	13
chr21_34727969_34729674	8	1	345	38
chr21_34733503_34738213	14	8	1376	204
chr21_34743219_34744692	9	0	291	28
chr21_34744862_34745595	6	1	56	11
chr21_34774306_34774949	1	2	65	6
chr21_34775071_34775343	1	0	31	3
chr21_34794299_34797215	56	5	395	78
chr21_34807571_34808579	17	4	103	17
chr21_34817077_34817472	16	2	8	6
chr21_34823953_34824246	0	1	31	13
chr21_34824584_34825005	4	1	62	15
chr21_34836515_34837010	12	5	60	13
chr21_34845266_34848021	17	10	976	423
chr21_34863697_34867190	54	10	994	249
chr21_34867422_34868238	12	2	78	9
chr21_34870053_34870653	9	0	44	17
chr21_34871068_34871494	5	0	33	0
chr21_34874970_34887230	227	116	3708	1141
chr21_34887277_34890719	338	257	2173	315
chr21_34904390_34910835	618	463	95	46
chr21_34940776_34941205	20	2	5	4
chr21_34967318_34968697	64	5	337	70
chr21_34982897_34983260	37	8	7	5
chr21_34983591_34983841	18	4	6	3
chr21_34992992_34993282	11	3	6	0
chr21_34993469_34993904	29	1	2	0
chr21_34994804_34995365	26	18	6	0
chr21_34995418_34997067	129	70	19	7
chr21_34997142_34998172	67	24	18	1
chr21_34998237_34998450	7	6	3	0
chr21_34999367_35000004	33	11	8	3
chr21_35003038_35003476	24	10	6	2
chr21_35025557_35029420	450	303	48	10
chr21_35029478_35029736	12	4	1	1
chr21_35046902_35049354	128	63	220	48
chr21_35050757_35052506	92	63	313	46
chr21_35100622_35100994	16	9	2	3
chr21_35102380_35103798	70	60	22	11
chr21_35104433_35105180	18	32	12	4
chr21_35105240_35107676	348	225	21	5
chr21_35113017_35113255	3	6	6	1
chr21_35136218_35137773	17	10	322	30
chr21_35138685_35139427	40	14	19	5
chr21_35163398_35164048	0	1	40	11
chr21_35190255_35190599	2	0	33	8
chr21_35197473_35198969	3	5	193	40
chr21_35203600_35203858	17	2	5	3
chr21_35204699_35207814	232	107	536	96
chr21_35215606_35217713	12	3	1418	196
chr21_35217771_35219412	7	4	1095	127
chr21_35221842_35224165	19	1	517	107
chr21_35224874_35228258	13	8	975	186
chr21_35229034_35229579	10	3	49	11
chr21_35230382_35234814	20	8	1355	235
chr21_35242286_35245573	10	3	1108	202
chr21_35245658_35245949	1	1	24	2
chr21_35248046_35251371	9	5	1181	188
chr21_35252656_35258558	21	19	3667	872
chr21_35259666_35260152	3	2	45	8
chr21_35260727_35263597	8	4	624	76
chr21_35265223_35267242	11	3	244	58
chr21_35272362_35277086	24	6	1436	267
chr21_35283230_35283415	3	4	3	0
chr21_35344096_35344707	5	2	72	6
chr21_35356558_35358282	6	7	263	18
chr21_35367922_35368465	1	3	49	11
chr21_35400665_35401062	2	0	56	5
chr21_35470679_35470891	5	7	2	1
chr21_35475591_35476168	15	13	6	5
chr21_35476525_35476872	16	4	8	0
chr21_35482381_35483135	45	7	8	3
chr21_35483336_35484332	49	24	6	5
chr21_35484780_35485112	12	6	3	1
chr21_35511401_35512060	2	0	64	20
chr21_35547478_35548775	103	33	8	5
chr21_35564836_35566005	24	2	137	15
chr21_35613605_35614722	11	1	280	33
chr21_35614849_35615614	13	3	190	27
chr21_35675110_35675435	2	0	23	1
chr21_35675893_35678674	11	1	1128	109
chr21_35820289_35820580	7	0	0	0
chr21_35911084_35911597	2	0	67	10
chr21_35911655_35912325	1	0	121	17
chr21_35952714_35953016	1	0	26	4
chr21_35953087_35954556	1	2	254	34
chr21_36059000_36061364	251	157	1163	448
chr21_36069169_36069864	15	16	88	11
chr21_36069961_36070498	13	10	53	17
chr21_36072614_36074161	15	2	171	51
chr21_36076895_36077131	14	1	6	5
chr21_36079119_36079917	63	23	13	8
chr21_36079966_36080158	8	0	1	4
chr21_36112381_36114748	10	8	480	144
chr21_36116738_36117130	1	0	38	8
chr21_36117280_36117989	3	0	127	25
chr21_36125381_36127566	18	5	691	159
chr21_36133970_36137238	14	3	1467	327
chr21_36141150_36141579	0	0	61	5
chr21_36141587_36143020	3	2	498	92
chr21_36143882_36144336	2	1	37	4
chr21_36153245_36153696	2	0	76	9
chr21_36154848_36156419	16	4	813	149
chr21_36156713_36157899	5	3	420	77
chr21_36163829_36164922	8	3	151	33
chr21_36186546_36189901	10	5	1337	222
chr21_36190513_36191107	4	0	54	8
chr21_36191770_36195331	19	3	1541	177
chr21_36197228_36199654	13	2	733	101
chr21_36201536_36204644	12	5	904	157
chr21_36207523_36208089	6	0	44	7
chr21_36209386_36211171	8	5	554	144
chr21_36234959_36235389	4	0	43	7
chr21_36245540_36246669	6	0	136	28
chr21_36253814_36254859	5	2	152	15
chr21_36260283_36260653	9	4	49	11
chr21_36266915_36267991	6	1	118	8
chr21_36268333_36268826	0	0	52	2
chr21_36296876_36299778	49	8	928	217
chr21_36302201_36302729	2	0	53	8
chr21_36319333_36323475	376	257	1530	524
chr21_36327327_36327589	12	5	11	0
