enhancer	S1_r1	S1_r2	S1_r3	S2_r1	S2_r2	S2_r3	S2_r4
chr21_14918333_14919168	3	2	4	64	6	128	12
chr21_14926316_14927144	1	3	6	202	71	404	142
chr21_14927333_14927573	1	0	0	31	9	62	18
chr21_14955400_14957996	6	2	4	377	41	754	82
chr21_14958088_14958784	2	0	0	68	7	136	14
chr21_14964985_14965434	4	1	2	31	5	62	10
chr21_14980967_14981700	2	1	2	70	1	140	2
chr21_14996201_14996682	2	0	0	55	5	110	10
chr21_15004653_15005972	3	2	4	121	24	242	48
chr21_15006626_15007301	8	3	6	74	14	148	28
chr21_15010662_15011215	3	1	2	63	11	126	22
chr21_15015835_15016454	1	1	2	63	8	126	16
chr21_15022973_15023225	1	0	0	24	5	48	10
chr21_15028086_15028516	1	1	2	40	4	80	8
chr21_15047660_15048143	5	2	4	48	8	96	16
chr21_15050142_15052838	33	22	44	311	83	622	166
chr21_15053219_15053804	4	4	8	51	23	102	46
chr21_15054044_15054519	2	1	2	56	11	112	22
chr21_15054609_15054985	6	1	2	36	15	72	30
chr21_15056653_15066984	459	353	706	4223	814	8446	1628
chr21_15121304_15122885	9	1	2	392	106	784	212
chr21_15132305_15132819	1	1	2	53	10	106	20
chr21_15133029_15133536	4	0	0	55	8	110	16
chr21_15191816_15192840	1	1	2	194	61	388	122
chr21_15192918_15193332	1	0	0	43	14	86	28
chr21_15197291_15197509	1	0	0	19	2	38	4
chr21_15197844_15202228	11	3	6	2973	626	5946	1252
chr21_15202427_15205649	13	3	6	794	82	1588	164
chr21_15206684_15212686	23	4	8	3269	435	6538	870
chr21_15212762_15213230	1	0	0	51	11	102	22
chr21_15219662_15220919	8	2	4	266	36	532	72
chr21_15222234_15222552	1	0	0	22	2	44	4
chr21_15241887_15243180	3	1	2	164	31	328	62
chr21_15243387_15243752	4	0	0	40	13	80	26
chr21_15249524_15249864	9	1	2	3	0	6	0
chr21_15250327_15250672	3	7	14	6	4	12	8
chr21_15274335_15275503	2	0	0	186	37	372	74
chr21_15275741_15275987	3	0	0	20	5	40	10
chr21_15290388_15294931	11	10	20	1924	562	3848	1124
chr21_15342939_15343482	3	0	0	50	9	100	18
chr21_15370317_15371026	1	0	0	77	27	154	54
chr21_15406117_15408569	7	3	6	739	102	1478	204
chr21_15444401_15444943	4	2	4	59	6	118	12
chr21_15482697_15483318	0	0	0	89	16	178	32
chr21_15483432_15484051	0	1	2	61	8	122	16
chr21_15547078_15547664	0	0	0	71	10	142	20
chr21_15548216_15548708	1	0	0	41	5	82	10
chr21_15592528_15593019	1	1	2	59	15	118	30
chr21_15601434_15602848	4	0	0	155	23	310	46
chr21_15603405_15604568	1	1	2	307	25	614	50
chr21_15604713_15605825	4	1	2	233	23	466	46
chr21_15617366_15618072	3	0	0	180	21	360	42
chr21_15618198_15619210	3	0	0	259	10	518	20
chr21_15628255_15630205	0	0	0	379	48	758	96
chr21_15639339_15639909	1	1	2	52	7	104	14
chr21_15682447_15682921	5	1	2	67	15	134	30
chr21_15705866_15708288	2	2	4	588	108	1176	216
chr21_15721952_15723324	3	2	4	322	132	644	264
chr21_15726198_15726848	1	0	0	64	13	128	26
chr21_15728895_15729844	32	18	36	272	66	544	132
chr21_15729917_15732647	182	178	356	807	118	1614	236
chr21_15732721_15733090	12	5	10	50	14	100	28
chr21_15733199_15733601	9	11	22	36	5	72	10
chr21_15733858_15734432	13	17	34	26	5	52	10
chr21_15735245_15735902	5	15	30	40	12	80	24
chr21_15736186_15736398	6	4	8	19	3	38	6
chr21_15743422_15743799	14	8	16	8	1	16	2
chr21_15743843_15744401	22	11	22	15	5	30	10
chr21_15748678_15750258	63	71	142	185	40	370	80
chr21_15752978_15753490	28	7	14	19	2	38	4
chr21_15788548_15789275	4	1	2	133	9	266	18
chr21_15789314_15790324	2	2	4	124	19	248	38
chr21_15855581_15855902	5	2	4	11	1	22	2
chr21_16080114_16080607	0	0	0	59	19	118	38
chr21_16117400_16118486	0	0	0	116	65	232	130
chr21_16118575_16118828	0	0	0	2	8	4	16
chr21_16124642_16125467	2	0	0	68	39	136	78
chr21_16125524_16125815	0	1	2	6	11	12	22
chr21_16158142_16159305	1	0	0	141	67	282	134
chr21_16159313_16160356	4	1	2	142	89	284	178
chr21_16168394_16169242	0	0	0	33	43	66	86
chr21_16169402_16169970	0	0	0	59	34	118	68
chr21_16179355_16179817	0	1	2	47	22	94	44
chr21_16179983_16180579	1	1	2	66	23	132	46
chr21_16374835_16375483	1	0	0	58	8	116	16
chr21_16418589_16421298	1	1	2	831	356	1662	712
chr21_16522163_16522685	1	0	0	58	6	116	12
chr21_16586785_16587628	1	0	0	101	27	202	54
chr21_16587912_16588528	1	0	0	60	20	120	40
chr21_17088403_17089392	1	0	0	216	39	432	78
chr21_17089534_17090493	3	0	0	117	27	234	54
chr21_17105378_17106182	0	0	0	108	29	216	58
chr21_17106288_17107034	1	1	2	90	19	180	38
chr21_17127963_17128457	0	0	0	46	14	92	28
chr21_17263230_17264007	0	0	0	69	23	138	46
chr21_17264241_17264637	0	1	2	35	7	70	14
chr21_17266091_17267252	0	0	0	104	37	208	74
chr21_17370059_17371560	2	1	2	271	56	542	112
chr21_17371778_17372213	0	0	0	56	13	112	26
chr21_17372420_17372938	2	0	0	50	11	100	22
chr21_17440776_17441561	2	1	2	68	32	136	64
chr21_17441612_17442057	1	0	0	40	18	80	36
chr21_17454234_17454705	6	2	4	45	9	90	18
chr21_17527028_17527279	1	0	0	30	5	60	10
chr21_17610489_17612980	425	193	386	133	33	266	66
chr21_17688566_17690161	53	14	28	254	79	508	158
chr21_17690746_17691158	18	3	6	17	6	34	12
chr21_17759679_17760199	6	4	8	41	7	82	14
chr21_17818393_17820531	275	113	226	442	86	884	172
chr21_18716386_18717844	4	1	2	285	61	570	122
chr21_18717935_18718690	0	1	2	70	33	140	66
chr21_18759123_18760913	140	55	110	14	9	28	18
chr21_18770986_18773628	2	3	6	450	162	900	324
chr21_19433262_19433709	26	3	6	7	1	14	2
chr21_19440455_19440739	2	8	16	6	3	12	6
chr21_19440857_19441375	9	14	28	14	5	28	10
chr21_19456854_19457367	7	12	24	6	0	12	0
chr21_19458484_19459007	5	14	28	5	2	10	4
chr21_19459477_19460026	17	16	32	6	7	12	14
chr21_19461171_19462198	35	20	40	12	4	24	8
chr21_19487253_19487778	14	9	18	11	2	22	4
chr21_19489999_19490444	17	6	12	3	1	6	2
chr21_19490868_19493784	96	85	170	25	8	50	16
chr21_19527474_19527775	1	0	0	31	3	62	6
chr21_19528172_19529156	2	0	0	167	24	334	48
chr21_19529298_19530062	1	0	0	149	22	298	44
chr21_19541864_19542406	2	2	4	57	9	114	18
chr21_19565936_19566938	1	2	4	120	18	240	36
chr21_19567263_19567763	1	0	0	66	17	132	34
chr21_19589526_19590773	3	5	10	174	23	348	46
chr21_19593881_19594346	3	0	0	48	6	96	12
chr21_19602116_19603195	1	1	2	131	20	262	40
chr21_19603305_19603700	0	0	0	38	6	76	12
chr21_19606701_19607349	1	0	0	61	5	122	10
chr21_19607908_19608350	10	4	8	46	12	92	24
chr21_19620298_19620848	1	3	6	42	12	84	24
chr21_19621108_19622150	2	0	0	100	19	200	38
chr21_19899758_19900066	22	2	4	1	2	2	4
chr21_19998754_20000499	101	35	70	12	6	24	12
chr21_20048368_20048707	13	3	6	0	1	0	2
chr21_20086397_20086603	7	3	6	3	0	6	0
chr21_20257456_20259787	239	155	310	22	2	44	4
chr21_20329587_20331328	37	60	120	15	6	30	12
chr21_20998426_20998772	3	1	2	25	11	50	22
chr21_21027498_21029582	3	3	6	291	117	582	234
chr21_21029623_21030084	2	0	0	38	14	76	28
chr21_21043860_21044352	8	17	34	16	1	32	2
chr21_21062247_21065718	0	6	12	728	225	1456	450
chr21_21096637_21097175	2	1	2	94	24	188	48
chr21_21101543_21102094	1	2	4	50	6	100	12
chr21_21145608_21146159	18	17	34	13	3	26	6
chr21_21146237_21149475	173	300	600	69	18	138	36
chr21_21149589_21150939	18	62	124	12	5	24	10
chr21_21151090_21151933	17	47	94	9	7	18	14
chr21_21152000_21152325	2	13	26	6	1	12	2
chr21_21152405_21154393	90	102	204	25	6	50	12
chr21_21154573_21155180	6	18	36	14	2	28	4
chr21_21155829_21156289	5	11	22	10	4	20	8
chr21_21156732_21157433	14	19	38	11	7	22	14
chr21_21157494_21157863	5	12	24	12	5	24	10
chr21_21157913_21159099	61	39	78	13	7	26	14
chr21_21159237_21160289	24	22	44	12	6	24	12
chr21_21161450_21161627	8	4	8	2	1	4	2
chr21_21162052_21163494	20	49	98	40	8	80	16
chr21_21165215_21165629	6	10	20	7	2	14	4
chr21_21173331_21173615	1	5	10	7	1	14	2
chr21_21175166_21175449	10	1	2	5	3	10	6
chr21_21175646_21176353	9	25	50	19	9	38	18
chr21_21178827_21180204	38	43	86	32	10	64	20
chr21_21181588_21181790	5	6	12	6	1	12	2
chr21_21182717_21183126	4	9	18	6	3	12	6
chr21_21183257_21183982	36	19	38	11	2	22	4
chr21_21187341_21188306	15	36	72	18	8	36	16
chr21_21190242_21190563	4	7	14	9	4	18	8
chr21_21193081_21193493	5	10	20	7	5	14	10
chr21_21193863_21194682	4	20	40	11	7	22	14
chr21_21195345_21196008	6	17	34	8	6	16	12
chr21_21196058_21202406	559	521	1042	245	61	490	122
chr21_21237734_21240742	5	8	16	800	282	1600	564
chr21_21246806_21248248	3	0	0	213	63	426	126
chr21_21248312_21248680	0	0	0	35	4	70	8
chr21_21267996_21270873	7	7	14	393	132	786	264
chr21_21315108_21315920	8	0	0	75	10	150	20
chr21_21322556_21322852	3	0	0	27	2	54	4
chr21_21335344_21335928	3	0	0	53	21	106	42
chr21_21336139_21337070	3	0	0	77	33	154	66
chr21_21357184_21357791	0	1	2	73	9	146	18
chr21_21357925_21358717	2	0	0	121	20	242	40
chr21_21377613_21378063	4	0	0	43	9	86	18
chr21_21671122_21671682	0	0	0	59	12	118	24
chr21_21681813_21682421	0	0	0	112	25	224	50
chr21_21682509_21683780	1	0	0	162	51	324	102
chr21_21806342_21807364	0	1	2	101	61	202	122
chr21_21807502_21808232	0	0	0	102	61	204	122
chr21_21896937_21897794	0	0	0	134	32	268	64
chr21_21897853_21898640	3	0	0	103	22	206	44
chr21_22188824_22189561	15	21	42	10	2	20	4
chr21_22189638_22190667	81	87	174	13	5	26	10
chr21_22190810_22191077	9	10	20	1	1	2	2
chr21_22200688_22201021	12	3	6	6	1	12	2
chr21_22209421_22209861	24	36	72	2	3	4	6
chr21_22209907_22210663	98	61	122	4	4	8	8
chr21_22210730_22211575	22	28	56	9	4	18	8
chr21_22212334_22212703	4	6	12	6	2	12	4
chr21_22398791_22401549	2	1	2	360	101	720	202
chr21_22535774_22536611	2	2	4	119	70	238	140
chr21_22536708_22537510	0	0	0	69	64	138	128
chr21_22884268_22885643	1	0	0	169	26	338	52
chr21_23402324_23403009	1	0	0	67	40	134	80
chr21_23403614_23404236	0	0	0	56	26	112	52
chr21_23480999_23481536	0	1	2	39	18	78	36
chr21_23800935_23801254	8	7	14	4	2	8	4
chr21_23804957_23805127	7	0	0	0	1	0	2
chr21_23812215_23812754	48	16	32	2	0	4	0
chr21_23886755_23888604	87	63	126	15	7	30	14
chr21_23888713_23891015	73	69	138	24	13	48	26
chr21_23891525_23892775	32	51	102	4	3	8	6
chr21_23892974_23893687	33	23	46	2	3	4	6
chr21_23893766_23894681	18	24	48	8	1	16	2
chr21_23921088_23923737	78	110	220	14	8	28	16
chr21_24271075_24271397	16	5	10	3	1	6	2
chr21_24272061_24272525	24	4	8	5	1	10	2
chr21_24272692_24273351	38	16	32	3	3	6	6
chr21_24462033_24462209	5	1	2	2	0	4	0
chr21_25573264_25574056	4	5	10	122	27	244	54
chr21_25574222_25574915	0	0	0	73	16	146	32
chr21_25606610_25607862	91	44	88	357	59	714	118
chr21_25607934_25608374	18	10	20	34	9	68	18
chr21_25626245_25627605	6	1	2	256	14	512	28
chr21_25699771_25702403	15	6	12	1087	187	2174	374
chr21_25717820_25718108	20	4	8	10	4	20	8
chr21_25730090_25730428	14	2	4	11	2	22	4
chr21_25732657_25732861	7	0	0	12	2	24	4
chr21_25732964_25736756	838	368	736	1577	468	3154	936
chr21_25773005_25773324	3	1	2	29	11	58	22
chr21_25790221_25790948	8	2	4	106	27	212	54
chr21_25934701_25935456	1	1	2	71	19	142	38
chr21_25962790_25964280	2	1	2	140	27	280	54
chr21_26003076_26003550	0	1	2	34	4	68	8
chr21_26003603_26004199	1	0	0	54	7	108	14
chr21_26022246_26022886	3	1	2	83	14	166	28
chr21_26023034_26024150	1	0	0	157	17	314	34
chr21_26106273_26107381	4	1	2	113	11	226	22
chr21_26114218_26118448	5	2	4	1373	283	2746	566
chr21_26124256_26125299	3	0	0	103	17	206	34
chr21_26125375_26126032	1	0	0	81	12	162	24
chr21_26126125_26126656	0	0	0	40	1	80	2
chr21_26137866_26142030	9	2	4	1021	173	2042	346
chr21_26147928_26149748	5	1	2	257	34	514	68
chr21_26152966_26154672	0	2	4	258	58	516	116
chr21_26157792_26159900	2	3	6	304	51	608	102
chr21_26166443_26167050	0	1	2	93	24	186	48
chr21_26167087_26167597	0	0	0	67	13	134	26
chr21_26168640_26170759	5	1	2	469	202	938	404
chr21_26170902_26171156	0	1	2	11	9	22	18
chr21_26171234_26171628	1	0	0	12	18	24	36
chr21_26389903_26391106	2	0	0	110	18	220	36
chr21_27047014_27047842	0	1	2	82	17	164	34
chr21_28207427_28207939	0	0	0	54	25	108	50
chr21_28208025_28209352	1	0	0	137	63	274	126
chr21_28636467_28637037	0	0	0	85	8	170	16
chr21_28637381_28637811	1	0	0	40	6	80	12
chr21_28696648_28696972	1	0	0	33	8	66	16
chr21_28698717_28699695	1	1	2	156	37	312	74
chr21_28699732_28700299	2	3	6	86	20	172	40
chr21_28883900_28885790	269	223	446	312	94	624	188
chr21_28961490_28962037	3	1	2	61	14	122	28
chr21_28962163_28962786	3	1	2	60	8	120	16
chr21_28991748_28993989	443	224	448	652	186	1304	372
chr21_29002062_29003758	213	146	292	237	49	474	98
chr21_29017628_29020236	309	234	468	392	79	784	158
chr21_29023925_29026302	489	318	636	1014	245	2028	490
chr21_29026472_29026875	17	10	20	10	2	20	4
chr21_29026938_29027187	6	9	18	7	2	14	4
chr21_29033543_29034226	7	5	10	73	15	146	30
chr21_29071159_29071422	14	5	10	12	3	24	6
chr21_29071585_29074463	458	217	434	781	228	1562	456
chr21_29181695_29182735	5	3	6	157	24	314	48
chr21_29192965_29197414	31	9	18	1166	111	2332	222
chr21_29217936_29220494	16	10	20	617	134	1234	268
chr21_29298157_29298727	28	10	20	32	3	64	6
chr21_29298855_29301037	717	243	486	276	47	552	94
chr21_29302222_29303077	52	18	36	53	15	106	30
chr21_29304949_29306756	157	100	200	32	11	64	22
chr21_29306916_29307248	16	9	18	7	1	14	2
chr21_29313913_29314552	12	20	40	17	5	34	10
chr21_29314666_29317719	485	227	454	48	16	96	32
chr21_29356548_29356722	6	1	2	3	0	6	0
chr21_29356795_29357018	7	4	8	2	2	4	4
chr21_29357166_29357666	17	6	12	2	1	4	2
chr21_29378157_29379945	12	3	6	644	43	1288	86
chr21_29381359_29383200	9	3	6	425	60	850	120
chr21_29384792_29388101	15	4	8	906	115	1812	230
chr21_29395976_29396297	0	3	6	30	2	60	4
chr21_29416048_29416324	1	0	0	25	4	50	8
chr21_29416484_29416930	2	2	4	47	5	94	10
chr21_29428767_29429332	2	2	4	55	10	110	20
chr21_29432915_29433838	2	1	2	239	21	478	42
chr21_29433883_29434910	3	0	0	206	17	412	34
chr21_29634547_29635064	21	8	16	4	1	8	2
chr21_29637303_29637945	39	9	18	13	3	26	6
chr21_29639754_29640104	20	7	14	3	0	6	0
chr21_29640260_29643743	1057	245	490	24	10	48	20
chr21_29643838_29644300	15	14	28	6	2	12	4
chr21_29645766_29651322	1222	642	1284	48	18	96	36
chr21_29651432_29652332	28	23	46	8	3	16	6
chr21_29653089_29654505	76	55	110	11	4	22	8
chr21_29654616_29656322	125	63	126	11	9	22	18
chr21_29656348_29659136	589	378	756	30	14	60	28
chr21_29659990_29660543	27	12	24	10	2	20	4
chr21_29725082_29725321	12	5	10	3	1	6	2
chr21_30227367_30227702	2	1	2	31	11	62	22
chr21_30769132_30769462	0	1	2	28	20	56	40
chr21_30769965_30770775	4	1	2	79	29	158	58
chr21_31117033_31117447	1	1	2	36	8	72	16
chr21_31117498_31117918	4	0	0	35	3	70	6
chr21_31218526_31219870	2	0	0	253	84	506	168
chr21_31235824_31236182	0	1	2	28	4	56	8
chr21_31310037_31310974	4	1	2	125	22	250	44
chr21_31311090_31311616	1	0	0	50	34	100	68
chr21_31336460_31337023	3	0	0	54	14	108	28
chr21_31337647_31339046	10	1	2	207	31	414	62
chr21_31342692_31344317	4	0	0	287	69	574	138
chr21_31351060_31351524	1	3	6	64	13	128	26
chr21_31351702_31352244	0	0	0	81	11	162	22
chr21_31353983_31355529	5	0	0	293	87	586	174
chr21_31425063_31425557	0	0	0	54	8	108	16
chr21_31425602_31425918	0	0	0	34	1	68	2
chr21_31501473_31503044	7	0	0	209	57	418	114
chr21_31504839_31505141	0	1	2	26	5	52	10
chr21_31509118_31510441	10	3	6	208	77	416	154
chr21_31529660_31529992	1	0	0	36	4	72	8
chr21_31530610_31531858	3	1	2	176	48	352	96
chr21_31559153_31560424	2	1	2	281	76	562	152
chr21_31629356_31630174	5	2	4	166	26	332	52
chr21_31630247_31630746	2	0	0	59	36	118	72
chr21_31658754_31661354	331	146	292	503	186	1006	372
chr21_31661674_31661904	10	0	0	5	3	10	6
chr21_31713162_31713729	20	22	44	8	6	16	12
chr21_31713794_31715483	141	91	182	59	14	118	28
chr21_31715527_31716232	14	24	48	19	3	38	6
chr21_31716324_31717256	12	28	56	25	9	50	18
chr21_31728694_31729397	22	5	10	59	19	118	38
chr21_31730465_31732186	202	97	194	595	149	1190	298
chr21_31732218_31734158	322	149	298	438	118	876	236
chr21_31734458_31734736	13	3	6	5	0	10	0
chr21_31734835_31737388	246	93	186	40	7	80	14
chr21_31737536_31738626	94	45	90	14	4	28	8
chr21_31861928_31862269	1	0	0	29	5	58	10
chr21_31872508_31873580	1	0	0	92	32	184	64
chr21_31888262_31889991	6	3	6	464	87	928	174
chr21_31890131_31890825	2	0	0	55	9	110	18
chr21_31903974_31904403	1	1	2	34	9	68	18
chr21_31908112_31909017	1	1	2	80	15	160	30
chr21_31987388_31987689	2	2	4	21	4	42	8
chr21_32021303_32022405	4	0	0	128	28	256	56
chr21_32130555_32132822	25	5	10	670	85	1340	170
chr21_32174491_32174958	1	0	0	37	6	74	12
chr21_32278019_32279916	140	57	114	346	96	692	192
chr21_32300376_32300657	11	0	0	7	1	14	2
chr21_32317792_32318035	6	0	0	3	1	6	2
chr21_32338971_32340948	8	2	4	361	138	722	276
chr21_32346383_32352945	36	12	24	3957	1840	7914	3680
chr21_32359484_32360511	8	3	6	68	42	136	84
chr21_32364141_32365276	8	0	0	94	11	188	22
chr21_32367675_32369216	10	8	16	158	59	316	118
chr21_32381549_32382242	1	1	2	82	15	164	30
chr21_32382446_32383324	11	0	0	146	26	292	52
chr21_32391759_32394742	294	123	246	1311	334	2622	668
chr21_32411686_32412363	3	3	6	91	11	182	22
chr21_32412466_32414475	11	1	2	429	46	858	92
chr21_32414585_32415335	3	2	4	79	11	158	22
chr21_32454867_32455738	5	3	6	133	6	266	12
chr21_32455972_32456444	1	0	0	49	9	98	18
chr21_32457326_32457970	5	0	0	43	5	86	10
chr21_32483480_32483808	2	1	2	32	7	64	14
chr21_32494169_32496598	14	5	10	805	89	1610	178
chr21_32507347_32507621	6	1	2	12	2	24	4
chr21_32516416_32516705	4	3	6	24	2	48	4
chr21_32520876_32521515	10	1	2	61	3	122	6
chr21_32533232_32533671	12	0	0	7	2	14	4
chr21_32545255_32547237	355	184	368	29	7	58	14
chr21_32547290_32547906	49	28	56	8	3	16	6
chr21_32548809_32549468	29	14	28	9	1	18	2
chr21_32569067_32570294	45	6	12	333	73	666	146
chr21_32586675_32587208	21	7	14	5	1	10	2
chr21_32595358_32595518	6	0	0	4	1	8	2
chr21_32610990_32611312	14	2	4	11	3	22	6
chr21_32611378_32614238	506	215	430	1477	367	2954	734
chr21_32646223_32646408	1	6	12	2	2	4	4
chr21_32660884_32661721	5	2	4	95	31	190	62
chr21_32726540_32729053	154	111	222	898	226	1796	452
chr21_32732218_32733240	3	4	8	104	11	208	22
chr21_32770097_32773168	254	191	382	1089	264	2178	528
chr21_32802724_32802987	7	0	0	0	0	0	0
chr21_33010574_33011680	6	0	0	410	103	820	206
chr21_33011762_33012324	3	0	0	97	30	194	60
chr21_33078650_33079858	20	2	4	199	51	398	102
chr21_33215572_33216354	35	16	32	12	5	24	10
chr21_33227046_33227528	9	4	8	45	9	90	18
chr21_33227612_33228106	6	3	6	68	14	136	28
chr21_33229881_33230993	49	31	62	166	39	332	78
chr21_33231156_33231405	2	5	10	24	6	48	12
chr21_33265443_33267439	68	36	72	272	51	544	102
chr21_33268524_33269712	11	2	4	151	27	302	54
chr21_33286302_33287254	10	1	2	84	12	168	24
chr21_33293973_33294722	5	2	4	84	28	168	56
chr21_33299009_33299538	4	0	0	52	1	104	2
chr21_33300837_33302220	79	13	26	122	12	244	24
chr21_33303921_33305704	132	29	58	23	10	46	20
chr21_33323956_33326164	254	192	384	1149	329	2298	658
chr21_33330957_33332830	86	60	120	22	9	44	18
chr21_33361493_33362323	12	5	10	71	22	142	44
chr21_33373472_33374541	5	1	2	128	24	256	48
chr21_33374902_33375287	1	1	2	33	7	66	14
chr21_33379715_33380763	49	7	14	196	39	392	78
chr21_33380846_33381122	7	0	0	28	6	56	12
chr21_33382612_33383945	71	18	36	213	55	426	110
chr21_33398994_33399156	5	0	0	0	0	0	0
chr21_33403472_33405604	96	48	96	471	130	942	260
chr21_33417046_33418718	11	2	4	274	69	548	138
chr21_33421427_33421650	9	1	2	4	0	8	0
chr21_33428532_33429854	6	2	4	151	22	302	44
chr21_33434577_33435470	23	1	2	91	52	182	104
chr21_33441778_33442128	1	0	0	25	11	50	22
chr21_33442428_33442772	3	0	0	24	5	48	10
chr21_33451995_33452540	8	2	4	37	11	74	22
chr21_33478277_33479982	137	76	152	663	210	1326	420
chr21_33480120_33481199	61	41	82	312	93	624	186
chr21_33490959_33492265	161	39	78	132	35	264	70
chr21_33505833_33506089	6	6	12	1	1	2	2
chr21_33539902_33540279	11	8	16	17	3	34	6
chr21_33540487_33545474	1352	773	1546	2815	1014	5630	2028
chr21_33552431_33552696	11	1	2	8	1	16	2
chr21_33579320_33579573	19	13	26	24	6	48	12
chr21_33584270_33584730	14	11	22	5	6	10	12
chr21_33587583_33589649	209	114	228	637	177	1274	354
chr21_33640832_33642994	248	125	250	767	239	1534	478
chr21_33643126_33644082	6	4	8	110	21	220	42
chr21_33655256_33656534	7	3	6	209	38	418	76
chr21_33677881_33679115	2	2	4	300	52	600	104
